,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
,2,37,KAN,Chris Jones\JoneCh09,DT,22,2020,0,1,4,28,28,65,0,0,0,0,0,0,0,0,0,0,0,108,2,36.5,Mississippi St.,College Stats
,2,38,MIA,Xavien Howard\HowaXa00,CB,23,2020,0,1,3,19,19,45,0,0,0,0,0,0,0,0,0,0,0,115,15,1.0,Baylor,College Stats
,2,39,TAM,Noah Spence\SpenNo00,DE,22,2019,0,0,0,5,5,41,0,0,0,0,0,0,0,0,0,0,0,24,,7.5,East. Kentucky,College Stats
,2,40,NYG,Sterling Shepard\ShepSt00,WR,23,2020,0,0,4,21,21,55,0,0,0,0,0,17,146,0,255,2938,17,,,,Oklahoma,College Stats
,2,41,BUF,Reggie Ragland\RaglRe00,ILB,22,2020,0,0,3,14,,46,0,0,0,0,0,0,0,0,0,0,0,105,1,3.5,Alabama,College Stats
,2,42,BAL,Kamalei Correa\CorrKa00,DE,22,2020,0,0,0,10,3,57,0,0,0,0,0,0,0,0,0,0,0,53,,8.5,Boise St.,College Stats
,2,43,TEN,Austin Johnson\JohnAu01,NT,22,2020,0,0,1,11,11,63,0,0,0,0,0,0,0,0,0,0,0,49,,3.5,Penn St.,College Stats
,2,44,OAK,Jihad Ward\WardJi02,DE,22,2020,0,0,1,9,6,46,0,0,0,0,0,0,0,0,0,0,0,27,,5.0,Illinois,College Stats
,2,45,TEN,Derrick Henry\HenrDe00,RB,22,2020,0,1,2,27,27,66,2,3,14,0,0,905,4209,42,63,610,3,,,,Alabama,College Stats
,2,46,DET,A'Shawn Robinson\RobiAS00,DT,21,2019,0,0,2,19,19,58,0,0,0,0,0,0,0,0,0,0,0,120,1,5.0,Alabama,College Stats
,2,47,NOR,Michael Thomas\ThomMi05,WR,23,2020,2,3,4,54,54,64,0,0,0,0,0,1,-9,0,473,5529,32,1,,,Ohio St.,College Stats
,2,48,GNB,Jason Spriggs\SpriJa00,T,22,2020,0,0,0,7,7,37,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana,College Stats
,2,49,SEA,Jarran Reed\ReedJa02,DT,23,2020,0,0,3,23,23,61,0,0,0,0,0,0,0,0,0,0,0,90,,16.5,Alabama,College Stats
,2,50,HOU,Nick Martin\MartNi00,G,23,2020,0,0,3,19,19,51,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
,2,51,NYJ,Christian Hackenberg\HackCh01,QB,21,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats
,2,52,ATL,Deion Jones\JoneDe01,OLB,21,2020,0,1,3,27,27,58,0,0,0,0,0,0,0,0,0,0,0,289,9,2.5,LSU,College Stats
,2,53,WAS,Su'a Cravens\CravSu00,OLB,21,2018,0,0,0,3,2,16,0,0,0,0,0,0,0,0,0,0,0,35,1,1.0,USC,College Stats
