,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
,5,163,GNB,Trevor Davis\DaviTr03,WR,23,2019,0,0,0,2,1,43,0,0,0,0,0,6,86,1,16,205,1,7,,,California,College Stats
,5,164,PHI,Halapoulivaati Vaitai\VaitHa00,T,23,2020,0,0,2,12,12,57,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,College Stats
,5,165,KAN,Tyreek Hill\HillTy00,WR,22,2020,2,4,3,47,47,64,0,1,0,0,1,77,549,5,303,4479,36,4,,,West Alabama,
,5,166,HOU,D.J. Reader\ReadD.00,NT,22,2020,0,0,2,23,23,66,0,0,0,0,0,0,0,0,0,0,0,89,,6.5,Clemson,College Stats
,5,167,ARI,Marqui Christian\ChriMa00,S,21,2020,0,0,0,4,,56,0,0,0,0,0,0,0,0,0,0,0,61,,,Midwestern St.,
,5,168,CLE,Spencer Drango\DranSp00,G,23,2017,0,0,2,8,8,32,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats
,5,169,DET,Antwione Williams\WillAn01,LB,23,2016,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,17,,,Georgia Southern,College Stats
,5,170,ARI,Cole Toner\ToneCo00,T,22,2018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Harvard,
,5,171,SEA,Alex Collins\CollAl00,RB,22,2018,0,0,2,14,2,36,0,0,0,0,0,357,1509,14,49,376,1,,,,Arkansas,College Stats
,5,172,CLE,Rashard Higgins\HiggRa00,WR,21,2020,0,0,0,6,6,57,0,0,0,0,0,1,4,0,80,1056,8,,,,Colorado St.,College Stats
,5,173,CLE,Trey Caldwell\CaldTr00,DB,22,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,La-Monroe,College Stats
,5,174,SFO,Fahn Cooper\CoopFa00,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats
,5,175,SDG,Jatavis Brown\BrowJa05,OLB,22,2019,0,0,2,15,15,56,0,0,0,0,0,0,0,0,0,0,0,187,,4.5,Akron,College Stats
,6,176,DEN,Andy Janovich\JanoAn00,FB,23,2020,0,0,1,2,2,55,0,0,0,0,0,15,55,3,24,246,1,15,,,Nebraska,College Stats
,6,177,LAR,Temarrick Hemingway\HemiTe00,TE,23,2020,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,10,0,2,,,South Carolina St.,
,6,178,KAN,D.J. White\WhitD.00,CB,22,2019,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,13,1,,Georgia Tech,College Stats
,6,179,SDG,Drew Kaser\KaseDr00,P,23,2018,0,0,0,5,5,36,0,0,0,0,0,1,0,0,0,0,0,1,,,Texas A&M,College Stats
,6,180,MIN,Moritz Boehringer\BoehMo00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,,
,6,181,JAX,Tyrone Holmes\HolmTy01,OLB,22,2017,0,0,0,1,,15,0,0,0,0,0,0,0,0,0,0,0,3,,1.0,Montana,
,6,182,BAL,Keenan Reynolds\ReynKe00,RB,22,2018,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Navy,College Stats
,6,183,TAM,Devante Bond\BondDe00,OLB,23,2020,0,0,1,4,4,34,0,0,0,0,0,0,0,0,0,0,0,31,,,Oklahoma,College Stats
,6,184,NYG,Jerell Adams\AdamJe01,TE,23,2019,0,0,0,2,2,30,0,0,0,0,0,0,0,0,24,214,1,3,,,South Carolina,College Stats
,6,185,CHI,DeAndre Houston-Carson\HousDe00,S,23,2020,0,0,0,3,3,53,0,0,0,0,0,0,0,0,0,0,0,25,,,William & Mary,
,6,186,MIA,Jakeem Grant\GranJa00,WR,23,2020,0,0,0,9,9,57,0,0,0,0,0,11,40,1,62,723,4,3,,,Texas Tech,College Stats
,6,187,WAS,Nate Sudfeld\SudfNa00,QB,22,2018,0,0,0,1,,3,20,25,156,1,0,3,20,0,0,0,0,,,,Indiana,College Stats
,6,188,MIN,David Morgan\MorgDa01,TE,23,2018,0,0,0,1,1,38,0,0,0,0,0,0,0,0,16,135,1,,,,Texas-San Antonio,College Stats
,6,189,DAL,Anthony Brown\BrowAn02,CB,22,2020,0,0,1,13,13,58,0,0,0,0,0,0,0,0,0,0,0,142,4,3.0,Purdue,College Stats
,6,190,LAR,Josh Forrest\ForrJo00,ILB,24,2017,0,0,0,4,4,12,0,0,0,0,0,0,0,0,0,0,0,6,,,Kentucky,College Stats
,6,191,DET,Jake Rudock\RudoJa00,QB,23,2017,0,0,0,0,0,3,3,5,24,0,1,0,0,0,0,0,0,,,,Michigan,College Stats
,6,192,BUF,Kolby Listenbee\ListKo00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,TCU,College Stats
,6,193,TEN,Sebastian Tretola\TretSe00,G,24,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats
,6,194,OAK,Cory James\JameCo00,OLB,23,2017,0,0,1,7,7,26,0,0,0,0,0,0,0,0,0,0,0,78,,,Colorado St.,College Stats
,6,195,ATL,Wes Schweitzer\SchwWe00,G,22,2020,0,0,2,18,18,51,0,0,0,0,0,0,0,0,0,0,0,,,,San Jose St.,College Stats
,6,196,PHI,Blake Countess\CounBl00,CB,23,2019,0,0,0,4,,43,0,0,0,0,0,0,0,0,0,0,0,38,2,1.0,Auburn,College Stats
,6,197,TAM,Danny Vitale\VitaDa00,FB,22,2019,0,0,1,1,,44,0,0,0,0,0,1,3,0,15,145,0,16,,,Northwestern,College Stats
,6,198,SDG,Derek Watt\WattDe00,FB,23,2020,0,0,0,1,1,67,0,0,0,0,0,19,49,1,10,152,0,29,,,Wisconsin,College Stats
,6,199,CIN,Cody Core\CoreCo00,WR,22,2019,0,0,0,3,3,51,0,0,0,0,0,0,0,0,33,388,1,12,,,Mississippi,College Stats
,6,200,GNB,Kyle Murphy\MurpKy00,T,22,2017,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
,6,201,JAX,Brandon Allen\AlleBr00,QB,24,2019,0,0,0,2,,3,39,84,515,3,2,10,39,0,0,0,0,,,,Arkansas,College Stats
,6,202,DET,Anthony Zettel\ZettAn00,DT,24,2019,0,0,1,9,8,49,0,0,0,0,0,0,0,0,0,0,0,51,,7.5,Penn St.,College Stats
,6,203,KAN,Dadi Nicolas\NicoDa00,DE,23,2016,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,College Stats
,6,204,MIA,Jordan Lucas\LucaJo00,S,23,2019,0,0,0,4,1,49,0,0,0,0,0,0,0,0,0,0,0,29,1,1.0,Penn St.,College Stats
,6,205,ARI,Harlan Miller\MillHa00,CB,22,2018,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,9,1,,Southeastern Louisiana,
,6,206,LAR,Mike Thomas\ThomMi04,WR,22,2020,0,0,0,1,1,45,0,0,0,0,0,1,1,0,20,212,1,9,,,Southern Miss,College Stats
,6,207,SFO,Jeff Driskel\DrisJe00,QB,23,2020,0,0,0,5,,15,202,345,2120,13,8,53,309,3,1,6,0,,,,Louisiana Tech,College Stats
,6,208,NWE,Kamu Grugier-Hill\GrugKa00,OLB,22,2020,0,0,2,11,,59,0,0,0,0,0,0,0,0,0,0,0,89,1,2.0,East. Illinois,
,6,209,BAL,Maurice Canady\CanaMa00,CB,22,2019,0,0,0,3,2,32,0,0,0,0,0,0,0,0,0,0,0,66,1,,Virginia,College Stats
,6,210,DET,Jimmy Landes\LandJi00,LS,24,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,College Stats
,6,211,SFO,Kelvin Taylor\TaylKe01,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats
,6,212,DAL,Kavon Frazier\FrazKa00,S,22,2020,0,0,0,3,3,48,0,0,0,0,0,0,0,0,0,0,0,48,,1.0,Central Michigan,College Stats
,6,213,SFO,Aaron Burbridge\BurbAa00,WR,22,2016,0,0,0,1,1,16,0,0,0,0,0,0,0,0,7,88,0,9,,,Michigan St.,College Stats
,6,214,NWE,Elandon Roberts\RobeEl00,ILB,22,2020,0,0,2,21,21,64,0,0,0,0,0,0,0,0,1,38,1,131,,5.0,Houston,College Stats
,6,215,SEA,Joey Hunt\HuntJo00,C,22,2019,0,0,0,7,7,34,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,College Stats
,6,216,DAL,Darius Jackson\JackDa01,RB,22,2018,0,0,0,0,0,4,0,0,0,0,0,6,16,0,0,0,0,,,,East. Michigan,
,6,217,DAL,Rico Gathers\GathRi00,TE,22,2018,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,45,0,,,,Baylor,
,6,218,BUF,Kevon Seymour\SeymKe00,CB,22,2017,0,0,0,3,1,31,0,0,0,0,0,0,0,0,0,0,0,38,,,USC,College Stats
,6,219,DEN,Will Parks\ParkWi01,S,22,2019,0,0,0,9,9,62,0,0,0,0,0,0,0,0,0,0,0,104,4,1.0,Arizona,
,6,220,PIT,Travis Feeney\FeenTr00,OLB,23,,0,0,0,,,,,,,,,,,,,,,,,,Washington,College Stats
,6,221,NWE,Ted Karras\KarrTe00,G,23,2020,0,0,1,13,13,65,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,College Stats
,7,222,TEN,Aaron Wallace\WallAa00,OLB,23,2018,0,0,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,12,,1.0,UCLA,College Stats
,7,223,MIA,Brandon Doughty\DougBr00,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Western Kentucky,College Stats
,7,224,SDG,Donavon Clark\ClarDo00,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan St.,College Stats
,7,225,NWE,Devin Lucien\LuciDe00,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,College Stats
,7,226,JAX,Jonathan Woodard\WoodJo00,DE,22,2018,0,0,0,1,,6,0,0,0,0,0,0,0,0,0,0,0,8,,1.0,Central Arkansas,
,7,227,MIN,Stephen Weatherly\WeatSt00,OLB,22,2020,0,0,0,8,8,54,0,0,0,0,0,0,0,0,0,0,0,49,,6.0,Vanderbilt,College Stats
,7,228,DEN,Riley Dixon\DixoRi00,P,23,2020,0,0,0,7,4,69,1,1,16,0,0,1,14,0,0,0,0,5,,,Syracuse,College Stats
,7,229,PIT,Demarcus Ayers\AyerDe00,WR,22,2016,0,0,0,0,0,2,0,0,0,0,0,2,-12,0,6,53,1,,,,Houston,College Stats
,7,230,CHI,Daniel Braverman\BravDa00,WR,22,2016,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,West. Michigan,College Stats
,7,231,MIA,Thomas Duarte\DuarTh00,TE,21,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats
,7,232,WAS,Steven Daniels\DaniSt00,ILB,23,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,College Stats
,7,233,PHI,Jalen Mills\MillJa02,S,22,2020,0,0,3,15,15,53,0,0,0,0,0,0,0,0,0,0,0,189,4,1.5,LSU,College Stats
,7,234,OAK,Vadal Alexander\AlexVa00,G,22,2017,0,0,0,4,4,24,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats
,7,235,NYJ,Lac Edwards\EdwaLa01,P,24,2019,0,0,0,9,9,64,1,1,31,0,0,1,0,0,0,0,0,1,,,Sam Houston St.,
,7,236,DET,Dwayne Washington\WashDw00,RB,22,2020,0,0,0,4,2,49,0,0,0,0,0,145,523,1,13,82,0,8,,,Washington,College Stats
,7,237,NOR,Daniel Lasco\LascDa00,RB,23,2017,0,0,0,0,0,10,0,0,0,0,0,11,32,0,2,11,0,7,,,California,College Stats
,7,238,ATL,Devin Fuller\FullDe00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats
,7,239,IND,Trevor Bates\BateTr00,LB,23,2018,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,,,Maine,
,7,240,PHI,Alex McCalister\McCaAl00,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats
,7,241,NYJ,Charone Peake\PeakCh00,WR,23,2018,0,0,0,1,1,31,0,0,0,0,0,0,0,0,22,214,0,5,,,Clemson,College Stats
,7,242,WAS,Keith Marshall\MarsKe00,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats
,7,243,SEA,Kenny Lawler\LawlKe00,WR,22,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats
,7,244,MIN,Jayron Kearse\KearJa00,S,22,2020,0,0,0,5,5,63,0,0,0,0,0,0,0,0,0,0,0,59,1,0.5,Clemson,College Stats
,7,245,CIN,Clayton Fejedelem\FejeCl00,S,23,2020,0,0,0,7,7,66,0,0,0,0,0,3,7,0,0,0,0,78,1,,Illinois,College Stats
,7,246,PIT,Tyler Matakevich\MataTy00,OLB,23,2020,0,0,0,5,5,68,0,0,0,0,0,0,0,0,0,0,0,63,,,Temple,College Stats
,7,247,SEA,Zac Brooks\BrooZa00,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats
,7,248,IND,Austin Blythe\BlytAu00,C,24,2020,0,0,2,19,1,60,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,College Stats
,7,249,SFO,Prince Charles Iworah\IworPr00,CB,23,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Western Kentucky,College Stats
,7,250,CLE,Scooby Wright III\WrigSc00,ILB,22,2017,0,0,0,1,,13,0,0,0,0,0,0,0,0,0,0,0,5,,,Arizona,College Stats
,7,251,PHI,Joe Walker\WalkJo01,ILB,23,2020,0,0,1,7,2,44,0,0,0,0,0,0,0,0,0,0,0,52,,,Oregon,College Stats
,7,252,CAR,Beau Sandland\SandBe00,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Montana St.,
,7,253,TEN,Kalan Reed\ReedKa00,CB,22,2017,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,,,Southern Miss,College Stats
