"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"11",5,153,"PHI","Wendell Smallwood","RB",22,2019,10,52,2016,5.12,70,30.5,208,9.25,4.47,14,33.5,120,6.83,10,5,19,12,9,1,6,1,1.07692307692308,8.69230769230769,0.0384615384615385,4.48076923076923,17.9038461538462,0.0961538461538462,38,233,931,56,452,2,"West Virginia",3.99570815450644,425,2462,12,68,618,0,8.07142857142857,9.1,5.8,493,NA,12,3080,6.2,1.78947368421053,16.2631578947368,0,11.1842105263158,64.7894736842105,0.315789473684211,81.0526315789474,0.315789473684211,2.5
"12",5,156,"BUF","Jonathan Williams","RB",22,2019,3,23,2016,5.57,71,31.625,220,10,NA,16,NA,NA,NA,3,NA,16,NA,NA,NA,NA,NA,0.304347826086957,2.60869565217391,0,3.43478260869565,14.304347826087,0.0869565217391304,49,79,329,7,60,0,"Arkansas",4.16455696202532,406,2321,16,26,345,6,8.57142857142857,13.3,5.7,432,NA,22,2666,6.2,0.530612244897959,7.04081632653061,0.122448979591837,8.28571428571429,47.3673469387755,0.326530612244898,54.4081632653061,0.448979591836735,0.75
"13",5,171,"SEA","Alex Collins","RB",22,2018,14,36,2016,5.7,70,30.25,217,9.25,4.59,18,28.5,113,NA,10,15,12,19,15,NA,NA,NA,1.36111111111111,10.4444444444444,0.0277777777777778,9.91666666666667,41.9166666666667,0.388888888888889,38,357,1509,49,376,1,"Arkansas",4.22689075630252,665,3703,36,27,167,0,7.6734693877551,6.2,5.6,692,NA,36,3870,5.6,0.710526315789474,4.39473684210526,0,17.5,97.4473684210526,0.947368421052632,101.842105263158,0.947368421052632,3.5
"14",6,182,"BAL","Keenan Reynolds","RB",22,2018,0,2,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,50,0,0,0,0,0,"Navy",NA,977,4559,88,1,47,0,NA,47,4.7,978,NA,88,4606,4.7,0.02,0.94,0,19.54,91.18,1.76,92.12,1.76,0
"15",6,211,"SFO","Kelvin Taylor","RB",22,NA,NA,NA,2016,5.35,70,29.25,207,8.25,4.6,15,32,113,NA,24,16,18,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,"Florida",NA,486,2108,23,24,179,0,NA,7.5,4.3,510,NA,23,2287,4.5,0.685714285714286,5.11428571428571,0,13.8857142857143,60.2285714285714,0.657142857142857,65.3428571428571,0.657142857142857,NA
"16",6,216,"DAL","Darius Jackson","RB",22,2018,0,4,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.5,4,0,NA,6,16,0,0,0,"East. Michigan",2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"17",7,236,"DET","Dwayne Washington","RB",22,2020,4,49,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26530612244898,1.6734693877551,0,2.95918367346939,10.6734693877551,0.0204081632653061,31,145,523,13,82,0,"Washington",3.60689655172414,226,1311,17,41,411,4,6.30769230769231,10,5.8,267,NA,21,1722,6.4,1.32258064516129,13.258064516129,0.129032258064516,7.29032258064516,42.2903225806452,0.548387096774194,55.5483870967742,0.67741935483871,1
"18",7,237,"NOR","Daniel Lasco","RB",23,2017,0,10,2016,5,72,32,209,9.125,4.46,23,41.5,135,7.22,14,4,4,1,1,9,5,2,0.2,1.1,0,1.1,3.2,0,41,11,32,2,11,0,"California",2.90909090909091,348,1872,18,48,458,2,5.5,9.5,5.4,396,NA,20,2330,5.9,1.17073170731707,11.1707317073171,0.0487804878048781,8.48780487804878,45.6585365853659,0.439024390243902,56.8292682926829,0.48780487804878,0
"19",7,242,"WAS","Keith Marshall","RB",22,NA,NA,NA,2016,5.27,71,31.625,219,9.375,4.31,25,30.5,NA,NA,7,1,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,"Georgia",NA,253,1379,12,24,225,3,NA,9.4,5.5,277,NA,15,1604,5.8,0.727272727272727,6.81818181818182,0.0909090909090909,7.66666666666667,41.7878787878788,0.363636363636364,48.6060606060606,0.454545454545455,NA
"20",7,247,"SEA","Zac Brooks","RB",23,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,"Clemson",NA,116,607,5,17,197,3,NA,11.6,5.2,133,NA,8,804,6,0.548387096774194,6.35483870967742,0.0967741935483871,3.74193548387097,19.5806451612903,0.161290322580645,25.9354838709677,0.258064516129032,NA
