"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"13",1,23,"NYG","Evan Engram","TE",23,2020,13,39,2017,5.82,75,33.5,234,10,4.42,19,36,125,6.92,NA,NA,NA,NA,NA,NA,NA,NA,41,9,66,171,1913,12,"Mississippi",7.33333333333333,0,0,0,162,2320,15,4.38461538461539,49.0512820512821,0.307692307692308,0.230769230769231,1.69230769230769,0.0256410256410256,11.187134502924,14.3,NA,162,NA,15,2320,14.3,3.95121951219512,56.5853658536585,0.365853658536585,0,0,0,56.5853658536585,0.365853658536585,4.33333333333333
"14",1,29,"CLE","David Njoku","TE",21,2020,7,38,2017,6.4,76,35.25,246,10,4.64,21,37.5,133,6.97,NA,NA,NA,NA,NA,NA,NA,NA,22,1,1,97,1122,10,"Miami (FL)",1,0,0,0,64,1060,9,2.55263157894737,29.5263157894737,0.263157894736842,0.0263157894736842,0.0263157894736842,0,11.5670103092784,16.6,NA,64,NA,9,1060,16.6,2.90909090909091,48.1818181818182,0.409090909090909,0,0,0,48.1818181818182,0.409090909090909,2.33333333333333
"15",2,44,"LAR","Gerald Everett","TE",23,2020,9,50,2017,6,75,33,239,8.5,4.62,22,37.5,126,6.99,NA,NA,NA,NA,NA,NA,NA,NA,31,5,31,94,1113,7,"South Alabama",6.2,8,7,4,107,1584,13,1.88,22.26,0.14,0.1,0.62,0.02,11.8404255319149,14.8,0.9,115,NA,17,1591,13.8,3.45161290322581,51.0967741935484,0.419354838709677,0.258064516129032,0.225806451612903,0.129032258064516,51.3225806451613,0.548387096774194,3
"16",2,45,"CHI","Adam Shaheen","TE",22,2020,2,32,2017,5.75,78,33.5,278,9.625,4.79,24,32.5,121,7.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,28,256,5,"Ashland",NA,NA,NA,NA,NA,NA,NA,0.875,8,0.15625,0,0,0,9.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667
"17",3,100,"TEN","Jonnu Smith","TE",22,2020,7,49,2017,5.46,75,32.875,248,9.25,4.62,22,38,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,78,91,1075,13,"Florida International",19.5,1,5,0,178,2001,18,1.85714285714286,21.9387755102041,0.26530612244898,0.0816326530612245,1.59183673469388,0,11.8131868131868,11.2,5,179,NA,18,2006,11.2,4.13953488372093,46.5348837209302,0.418604651162791,0.0232558139534884,0.116279069767442,0,46.6511627906977,0.418604651162791,2.33333333333333
"18",4,127,"DET","Michael Roberts","TE",23,2018,1,23,2017,5.45,76,33,270,11.5,4.86,NA,30,110,7.05,NA,NA,NA,NA,NA,NA,NA,NA,27,0,0,13,146,3,"Toledo",NA,0,0,0,70,832,22,0.565217391304348,6.34782608695652,0.130434782608696,0,0,0,11.2307692307692,11.9,NA,70,NA,22,832,11.9,2.59259259259259,30.8148148148148,0.814814814814815,0,0,0,30.8148148148148,0.814814814814815,0.333333333333333
"19",5,145,"DEN","Jake Butt","TE",22,2020,1,7,2017,5.81,77,32,246,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,0,10,90,0,"Michigan",NA,0,2,0,138,1646,11,1.42857142857143,12.8571428571429,0,0,0,0,9,11.9,NA,138,NA,11,1648,11.9,3.2093023255814,38.2790697674419,0.255813953488372,0,0.0465116279069767,0,38.3255813953488,0.255813953488372,0.333333333333333
"20",5,146,"SFO","George Kittle","TE",23,2020,24,48,2017,5.38,76,33.125,247,9.25,4.52,18,35,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,8,49,239,3216,13,"Iowa",6.125,0,0,0,48,737,10,4.97916666666667,67,0.270833333333333,0.166666666666667,1.02083333333333,0,13.4560669456067,15.4,NA,48,NA,10,737,15.4,1.92,29.48,0.4,0,0,0,29.48,0.4,8
"21",5,150,"NYJ","Jordan Leggett","TE",22,2018,1,15,2017,5.58,77,33.5,258,10.375,NA,18,33,114,7.12,NA,NA,NA,NA,NA,NA,NA,NA,44,0,0,14,114,1,"Clemson",NA,0,0,0,112,1598,18,0.933333333333333,7.6,0.0666666666666667,0,0,0,8.14285714285714,14.3,NA,112,NA,18,1598,14.3,2.54545454545455,36.3181818181818,0.409090909090909,0,0,0,36.3181818181818,0.409090909090909,0.333333333333333
"22",5,154,"WAS","Jeremy Sprinkle","TE",23,2020,2,48,2017,5.7,77,34.5,252,10.75,4.69,NA,29,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,0,0,33,295,3,"Arkansas",NA,2,5,0,71,921,11,0.6875,6.14583333333333,0.0625,0,0,0,8.93939393939394,13,2.5,73,NA,11,926,12.7,1.82051282051282,23.6153846153846,0.282051282051282,0.0512820512820513,0.128205128205128,0,23.7435897435897,0.282051282051282,0.666666666666667
"23",5,174,"ATL","Eric Saubert","TE",23,2019,0,32,2017,5.37,77,33.5,253,10.375,NA,22,33,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,69,0,"Drake",NA,NA,NA,NA,NA,NA,NA,0.21875,2.15625,0,0,0,0,9.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"24",6,201,"MIN","Bucky Hodges","TE",22,NA,NA,NA,2017,5.93,78,32.5,257,10.125,4.57,18,39,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,"Virginia Tech",NA,21,89,1,133,1747,20,NA,NA,NA,NA,NA,NA,NA,13.1,4.2,154,NA,21,1836,11.9,3.41025641025641,44.7948717948718,0.512820512820513,0.538461538461538,2.28205128205128,0.0256410256410256,47.0769230769231,0.538461538461538,NA
"25",7,251,"CIN","Mason Schreck","TE",23,2020,0,11,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,0,0,0,0,0,"Buffalo",NA,0,0,0,107,1113,6,0,0,0,0,0,0,NA,10.4,NA,107,NA,6,1113,10.4,2.74358974358974,28.5384615384615,0.153846153846154,0,0,0,28.5384615384615,0.153846153846154,0
"26",1,25,"BAL","Hayden Hurst","TE",25,2020,6,33,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,0,58,682,5,"South Carolina",0,11,39,1,100,1281,3,1.75757575757576,20.6666666666667,0.151515151515152,0.0303030303030303,0,0,11.7586206896552,12.8,3.5,111,NA,4,1320,11.9,3.2258064516129,41.3225806451613,0.0967741935483871,0.354838709677419,1.25806451612903,0.032258064516129,42.5806451612903,0.129032258064516,3
"27",2,42,"MIA","Mike Gesicki","TE",22,2020,6,37,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,0,0,91,1053,7,"Penn St.",NA,0,0,0,129,1481,15,2.45945945945946,28.4594594594595,0.189189189189189,0,0,0,11.5714285714286,11.5,NA,129,NA,15,1481,11.5,2.86666666666667,32.9111111111111,0.333333333333333,0,0,0,32.9111111111111,0.333333333333333,3
"28",2,49,"PHI","Dallas Goedert","TE",23,2020,8,34,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,104,1079,10,"South Dakota St.",NA,NA,NA,NA,NA,NA,NA,3.05882352941176,31.7352941176471,0.294117647058824,0,0,0,10.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"29",3,86,"BAL","Mark Andrews","TE",22,2020,17,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0,0,116,1626,18,"Oklahoma",NA,0,0,0,112,1765,22,3.22222222222222,45.1666666666667,0.5,0,0,0,14.0172413793103,15.8,NA,112,NA,22,1765,15.8,3.2,50.4285714285714,0.628571428571429,0,0,0,50.4285714285714,0.628571428571429,8.5
