"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"43",3,84,"TAM","Chris Godwin","WR",21,2020,19,48,2017,NA,73,31.625,209,9.125,4.42,19,36,126,7.01,NA,NA,NA,NA,NA,NA,NA,NA,39,1,8,190,2843,18,"Penn St.",8,3.95833333333333,59.2291666666667,0.375,0.0208333333333333,0.166666666666667,0,3,14,0,154,2421,18,14.9631578947368,15.7,4.7,157,NA,18,2435,15.5,3.94871794871795,62.0769230769231,0.461538461538462,0.0769230769230769,0.358974358974359,0,62.4358974358974,0.461538461538462,6.33333333333333
"44",3,96,"DET","Kenny Golladay","WR",23,2020,20,44,2017,5.45,76,32,218,9.75,4.5,18,35.5,120,7,NA,NA,NA,NA,NA,NA,NA,NA,26,2,17,173,2849,21,"Northern Illinois",8.5,3.93181818181818,64.75,0.477272727272727,0.0454545454545455,0.386363636363636,0,29,206,3,160,2285,18,16.4682080924856,14.3,7.1,189,NA,21,2491,13.2,6.15384615384615,87.8846153846154,0.692307692307692,1.11538461538462,7.92307692307692,0.115384615384615,95.8076923076923,0.807692307692308,6.66666666666667
"45",3,98,"ARI","Chad Williams","WR",22,2019,1,17,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,42,20,202,1,"Grambling St.",14,1.17647058823529,11.8823529411765,0.0588235294117647,0.176470588235294,2.47058823529412,0,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333
"46",3,106,"SEA","Amara Darboh","WR",23,2017,1,16,2017,5.56,74,32.625,214,9.875,4.45,17,36,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0,0,8,71,0,"Michigan",NA,0.5,4.4375,0,0,0,0,2,2,0,151,2062,14,8.875,13.7,1,153,NA,14,2064,13.5,4.08108108108108,55.7297297297297,0.378378378378378,0.0540540540540541,0.0540540540540541,0,55.7837837837838,0.378378378378378,0.333333333333333
"47",4,110,"JAX","Dede Westbrook","WR",23,2020,13,39,2017,5.77,72,30.625,178,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,14,125,160,1720,9,"Oklahoma",8.92857142857143,4.1025641025641,44.1025641025641,0.230769230769231,0.358974358974359,3.20512820512821,0,15,118,0,126,2267,21,10.75,18,7.9,141,NA,21,2385,16.9,4.84615384615385,87.1923076923077,0.807692307692308,0.576923076923077,4.53846153846154,0,91.7307692307692,0.807692307692308,4.33333333333333
"48",4,117,"LAR","Josh Reynolds","WR",22,2020,8,53,2017,5.71,75,31.5,194,9.375,4.52,NA,37,124,6.83,NA,NA,NA,NA,NA,NA,NA,NA,38,7,31,73,1013,7,"Texas A&M",4.42857142857143,1.37735849056604,19.1132075471698,0.132075471698113,0.132075471698113,0.584905660377358,0,0,0,0,164,2788,30,13.8767123287671,17,NA,164,NA,30,2788,17,4.31578947368421,73.3684210526316,0.789473684210526,0,0,0,73.3684210526316,0.789473684210526,2.66666666666667
"49",4,118,"PHI","Mack Hollins","WR",23,2020,3,37,2017,5.51,76,33.25,221,9.75,4.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,0,0,26,351,1,"North Carolina",NA,0.702702702702703,9.48648648648649,0.027027027027027,0,0,0,0,0,0,81,1667,20,13.5,20.6,NA,81,NA,20,1667,20.6,1.97560975609756,40.6585365853659,0.48780487804878,0,0,0,40.6585365853659,0.48780487804878,1
"50",4,128,"CIN","Josh Malone","WR",21,2020,1,26,2017,NA,75,31.375,208,9.625,4.4,10,30.5,121,7.05,NA,NA,NA,NA,NA,NA,NA,NA,32,3,14,11,91,1,"Tennessee",4.66666666666667,0.423076923076923,3.5,0.0384615384615385,0.115384615384615,0.538461538461538,0,2,11,0,104,1608,14,8.27272727272727,15.5,5.5,106,NA,14,1619,15.3,3.25,50.25,0.4375,0.0625,0.34375,0,50.59375,0.4375,0.333333333333333
"51",4,133,"DAL","Ryan Switzer","WR",22,2019,3,41,2017,5.23,68,28,181,9.25,4.51,11,32,116,6.77,NA,NA,NA,NA,NA,NA,NA,NA,53,10,26,50,321,1,"North Carolina",2.6,1.21951219512195,7.82926829268293,0.024390243902439,0.24390243902439,0.634146341463415,0,25,82,0,243,2903,19,6.42,11.9,3.3,268,NA,19,2985,11.1,4.58490566037736,54.7735849056604,0.358490566037736,0.471698113207547,1.54716981132075,0,56.3207547169811,0.358490566037736,1
"52",4,139,"KAN","Jehu Chesson","WR",23,2018,0,24,2017,5.46,75,33.25,204,9.125,4.47,10,35.5,132,6.7,NA,NA,NA,NA,NA,NA,NA,NA,45,1,-4,3,25,0,"Michigan",-4,0.125,1.04166666666667,0,0.0416666666666667,-0.166666666666667,0,22,219,3,114,1639,12,8.33333333333333,14.4,10,136,NA,15,1858,13.7,2.53333333333333,36.4222222222222,0.266666666666667,0.488888888888889,4.86666666666667,0.0666666666666667,41.2888888888889,0.333333333333333,0
"53",4,141,"NYJ","Chad Hansen","WR",22,2017,1,15,2017,5.84,74,32.125,202,10.125,4.53,11,35,119,6.74,NA,NA,NA,NA,NA,NA,NA,NA,17,0,0,9,94,0,"California",NA,0.6,6.26666666666667,0,0,0,0,0,0,0,111,1498,12,10.4444444444444,13.5,NA,111,NA,12,1498,13.5,6.52941176470588,88.1176470588235,0.705882352941177,0,0,0,88.1176470588235,0.705882352941177,0.333333333333333
"54",5,166,"PHI","Shelton Gibson","WR",22,2018,0,20,2017,5.72,71,32,191,8.875,4.5,8,32,118,6.83,NA,NA,NA,NA,NA,NA,NA,NA,32,0,0,3,59,0,"West Virginia",NA,0.15,2.95,0,0,0,0,2,29,0,84,1898,17,19.6666666666667,22.6,14.5,86,NA,17,1927,22.4,2.625,59.3125,0.53125,0.0625,0.90625,0,60.21875,0.53125,0
"55",5,170,"MIN","Rodney Adams","WR",22,2017,0,1,2017,5.41,73,32,189,9,4.44,8,29.5,125,6.98,NA,NA,NA,NA,NA,NA,NA,NA,38,0,0,0,0,0,"South Florida",NA,0,0,0,0,0,0,40,375,7,136,1976,16,NA,14.5,9.4,176,NA,23,2351,13.4,3.57894736842105,52,0.421052631578947,1.05263157894737,9.86842105263158,0.184210526315789,61.8684210526316,0.605263157894737,0
"56",5,172,"DEN","Isaiah McKenzie","WR",22,2020,4,39,2017,5.2,67,28.875,173,8.875,4.42,11,36,123,6.64,NA,NA,NA,NA,NA,NA,NA,NA,33,22,134,60,557,2,"Georgia",6.09090909090909,1.53846153846154,14.2820512820513,0.0512820512820513,0.564102564102564,3.43589743589744,0.0512820512820513,37,329,4,60,823,7,9.28333333333333,13.7,8.9,97,NA,11,1152,11.9,1.81818181818182,24.9393939393939,0.212121212121212,1.12121212121212,9.96969696969697,0.121212121212121,34.9090909090909,0.333333333333333,1.33333333333333
"57",5,175,"GNB","DeAngelo Yancey","WR",22,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purdue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",5,177,"SFO","Trent Taylor","WR",23,2020,5,34,2017,5.18,68,28.75,181,8.25,4.63,13,33,117,6.74,NA,NA,NA,NA,NA,NA,NA,NA,51,0,0,74,682,3,"Louisiana Tech",NA,2.17647058823529,20.0588235294118,0.0882352941176471,0,0,0,0,0,0,327,4179,32,9.21621621621622,12.8,NA,327,NA,32,4179,12.8,6.41176470588235,81.9411764705882,0.627450980392157,0,0,0,81.9411764705882,0.627450980392157,1.66666666666667
"59",6,209,"WAS","Robert Davis","WR",22,2019,0,7,2017,NA,75,33,219,9.625,4.44,19,41,136,6.82,NA,NA,NA,NA,NA,NA,NA,NA,49,0,0,2,17,0,"Georgia St.",NA,0.285714285714286,2.42857142857143,0,0,0,0,1,3,0,222,3391,17,8.5,15.3,3,223,NA,17,3394,15.2,4.53061224489796,69.2040816326531,0.346938775510204,0.0204081632653061,0.0612244897959184,0,69.265306122449,0.346938775510204,0
"60",7,219,"MIN","Stacy Coley","WR",23,2018,0,7,2017,5.35,72,32.25,195,9.75,4.45,10,34,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,0,0,0,0,0,"Miami (FL)",NA,0,0,0,0,0,0,8,125,1,166,2218,20,NA,13.4,15.6,174,NA,21,2343,13.5,3.45833333333333,46.2083333333333,0.416666666666667,0.166666666666667,2.60416666666667,0.0208333333333333,48.8125,0.4375,0
"61",7,226,"SEA","David Moore","WR",22,2020,7,36,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,42,53,919,9,"East Central (OK)",8.4,1.47222222222222,25.5277777777778,0.25,0.138888888888889,1.16666666666667,0,NA,NA,NA,NA,NA,NA,17.3396226415094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333
"62",7,237,"MIA","Isaiah Ford","WR",21,2020,2,14,2017,5.74,73,32.625,194,9.25,4.61,14,35.5,127,6.94,NA,NA,NA,NA,NA,NA,NA,NA,39,1,11,40,418,0,"Virginia Tech",11,2.85714285714286,29.8571428571429,0,0.0714285714285714,0.785714285714286,0,17,84,0,210,2967,24,10.45,14.1,4.9,227,NA,24,3051,13.4,5.38461538461539,76.0769230769231,0.615384615384615,0.435897435897436,2.15384615384615,0,78.2307692307692,0.615384615384615,0.666666666666667
"63",7,239,"DAL","Noah Brown","WR",21,2020,0,26,2017,5.5,74,31.75,222,9.125,NA,19,NA,NA,7.07,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0,16,167,0,"Ohio St.",NA,0.615384615384615,6.42307692307692,0,0,0,0,1,-4,0,33,411,7,10.4375,12.5,-4,34,NA,7,407,12,2.35714285714286,29.3571428571429,0.5,0.0714285714285714,-0.285714285714286,0,29.0714285714286,0.5,0
"64",7,247,"GNB","Malachi Dupre","WR",21,2018,0,1,2017,5.39,74,31.5,196,9,4.52,11,39.5,135,7.19,NA,NA,NA,NA,NA,NA,NA,NA,31,0,0,0,0,0,"LSU",NA,0,0,0,0,0,0,0,0,0,98,1609,14,NA,16.4,NA,98,NA,14,1609,16.4,3.16129032258065,51.9032258064516,0.451612903225806,0,0,0,51.9032258064516,0.451612903225806,0
"65",1,24,"CAR","D.J. Moore","WR",21,2020,16,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,19,212,164,2344,7,"Maryland",11.1578947368421,4.55555555555556,65.1111111111111,0.194444444444444,0.527777777777778,5.88888888888889,0,17,125,1,146,2027,17,14.2926829268293,13.9,7.4,163,NA,18,2152,13.2,4.05555555555556,56.3055555555556,0.472222222222222,0.472222222222222,3.47222222222222,0.0277777777777778,59.7777777777778,0.5,8
"66",1,26,"ATL","Calvin Ridley","WR",23,2020,14,34,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,10,67,156,2172,21,"Alabama",6.7,4.58823529411765,63.8823529411765,0.617647058823529,0.294117647058824,1.97058823529412,0,8,40,1,224,2781,19,13.9230769230769,12.4,5,232,NA,20,2821,12.2,5.09090909090909,63.2045454545455,0.431818181818182,0.181818181818182,0.909090909090909,0.0227272727272727,64.1136363636364,0.454545454545455,7
"67",2,40,"DEN","Courtland Sutton","WR",22,2020,14,33,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4,16,117,1882,10,"SMU",4,3.54545454545455,57.030303030303,0.303030303030303,0.121212121212121,0.484848484848485,0,1,2,1,195,3220,31,16.0854700854701,16.5,2,196,NA,32,3222,16.4,4.875,80.5,0.775,0.025,0.05,0.025,80.55,0.8,7
"68",2,44,"SFO","Dante Pettis","WR",22,2020,4,27,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1,-2,38,576,7,"Washington",-2,1.40740740740741,21.3333333333333,0.259259259259259,0.037037037037037,-0.0740740740740741,0,4,42,0,163,2256,24,15.1578947368421,13.8,10.5,167,NA,24,2298,13.8,3.13461538461538,43.3846153846154,0.461538461538462,0.0769230769230769,0.807692307692308,0,44.1923076923077,0.461538461538462,2
"69",2,47,"ARI","Christian Kirk","WR",21,2020,11,29,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,14,131,122,1453,7,"Texas A&M",9.35714285714286,4.20689655172414,50.1034482758621,0.241379310344828,0.482758620689655,4.51724137931035,0,23,120,0,234,2856,26,11.9098360655738,12.2,5.2,257,NA,26,2976,11.6,6,73.2307692307692,0.666666666666667,0.58974358974359,3.07692307692308,0,76.3076923076923,0.666666666666667,5.5
"70",2,51,"CHI","Anthony Miller","WR",23,2020,9,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,8,34,98,1240,11,"Memphis",4.25,2.72222222222222,34.4444444444444,0.305555555555556,0.222222222222222,0.944444444444444,0,31,148,3,238,3590,37,12.6530612244898,15.1,4.8,269,NA,40,3738,13.9,6.26315789473684,94.4736842105263,0.973684210526316,0.815789473684211,3.89473684210526,0.0789473684210526,98.3684210526316,1.05263157894737,4.5
"71",2,60,"PIT","James Washington","WR",22,2020,8,33,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0,0,73,1069,5,"Oklahoma St.",NA,2.21212121212121,32.3939393939394,0.151515151515152,0,0,0,9,70,1,226,4472,39,14.6438356164384,19.8,7.8,235,NA,40,4542,19.3,4.43137254901961,87.6862745098039,0.764705882352941,0.176470588235294,1.37254901960784,0.0196078431372549,89.0588235294118,0.784313725490196,4
"72",2,61,"JAX","DJ Chark","WR",21,2020,8,30,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,105,1402,11,"LSU",10,3.5,46.7333333333333,0.366666666666667,0.0666666666666667,0.666666666666667,0,NA,NA,NA,NA,NA,NA,13.352380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"73",3,81,"DAL","Michael Gallup","WR",22,2020,13,35,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0,0,116,1962,9,"Colorado St.",NA,3.31428571428571,56.0571428571429,0.257142857142857,0,0,0,4,15,0,176,2690,21,16.9137931034483,15.3,3.8,180,NA,21,2705,15,6.76923076923077,103.461538461538,0.807692307692308,0.153846153846154,0.576923076923077,0,104.038461538462,0.807692307692308,6.5
"74",3,91,"NOR","Tre'Quan Smith","WR",22,2020,7,31,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0,0,62,855,12,"Central Florida",NA,2,27.5806451612903,0.387096774193548,0,0,0,5,23,1,168,2748,22,13.7903225806452,16.4,4.6,173,NA,23,2771,16,4.54054054054054,74.2702702702703,0.594594594594595,0.135135135135135,0.621621621621622,0.027027027027027,74.8918918918919,0.621621621621622,3.5
"75",4,103,"HOU","Keke Coutee","WR",21,2020,5,16,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,5,14,52,552,1,"Texas Tech",2.8,3.25,34.5,0.0625,0.3125,0.875,0.0625,8,17,1,159,2424,17,10.6153846153846,15.2,2.1,167,NA,18,2441,14.6,5.3,80.8,0.566666666666667,0.266666666666667,0.566666666666667,0.0333333333333333,81.3666666666667,0.6,2.5
"76",4,105,"CLE","Antonio Callaway","WR",21,2019,5,20,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,7,51,675,5,"Florida",3.5,2.55,33.75,0.25,0.1,0.35,0,8,51,1,89,1399,7,13.2352941176471,15.7,6.4,97,NA,8,1450,14.9,2.47222222222222,38.8611111111111,0.194444444444444,0.222222222222222,1.41666666666667,0.0277777777777778,40.2777777777778,0.222222222222222,2.5
"77",4,113,"DEN","DaeSean Hamilton","WR",23,2020,4,34,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0,0,61,572,3,"Penn St.",NA,1.79411764705882,16.8235294117647,0.0882352941176471,0,0,0,10,22,0,214,2842,18,9.37704918032787,13.3,2.2,224,NA,18,2864,12.8,4.19607843137255,55.7254901960784,0.352941176470588,0.196078431372549,0.431372549019608,0,56.156862745098,0.352941176470588,2
"78",4,132,"BAL","Jaleel Scott","WR",23,2019,0,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0,1,6,0,"New Mexico St.",NA,0.333333333333333,2,0,0,0,0,0,0,0,99,1362,14,6,13.8,NA,99,NA,14,1362,13.8,4.30434782608696,59.2173913043478,0.608695652173913,0,0,0,59.2173913043478,0.608695652173913,0
"79",4,133,"GNB","J'Mon Moore","WR",23,2018,0,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0,0,2,15,0,"Missouri",NA,0.166666666666667,1.25,0,0,0,0,0,0,1,158,2477,21,7.5,15.7,NA,158,NA,22,2477,15.7,4.27027027027027,66.945945945946,0.567567567567568,0,0,0.027027027027027,66.945945945946,0.594594594594595,0
"80",5,144,"TAM","Justin Watson","WR",23,2020,1,31,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,23,258,2,"Pennsylvania",NA,0.741935483870968,8.32258064516129,0.0645161290322581,0,0,0,NA,NA,NA,NA,NA,NA,11.2173913043478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"81",5,159,"IND","Daurice Fountain","WR",22,2020,0,5,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,23,0,"Northern Iowa",NA,0.4,4.6,0,0,0,0,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"82",5,162,"BAL","Jordan Lasley","WR",21,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,"UCLA",NA,NA,NA,NA,NA,NA,NA,4,-6,0,113,1901,14,NA,16.8,-1.5,117,NA,14,1895,16.2,4.91304347826087,82.6521739130435,0.608695652173913,0.173913043478261,-0.260869565217391,0,82.3913043478261,0.608695652173913,NA
"83",5,174,"GNB","Marquez Valdes-Scantling","WR",23,2020,8,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,4,38,76,1243,5,"South Florida",9.5,2.11111111111111,34.5277777777778,0.138888888888889,0.111111111111111,1.05555555555556,0,10,112,1,119,1832,12,16.3552631578947,15.4,11.2,129,NA,13,1944,15.1,2.42857142857143,37.3877551020408,0.244897959183673,0.204081632653061,2.28571428571429,0.0204081632653061,39.6734693877551,0.26530612244898,4
"84",6,175,"CLE","Damion Ratley","WR",23,2020,3,31,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,0,29,407,1,"Texas A&M",NA,0.935483870967742,13.1290322580645,0.032258064516129,0,0,0,0,0,0,47,920,8,14.0344827586207,19.6,NA,47,NA,8,920,19.6,2.23809523809524,43.8095238095238,0.380952380952381,0,0,0,43.8095238095238,0.380952380952381,1.5
"85",6,185,"IND","Deon Cain","WR",22,2019,1,13,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,0,9,124,0,"Clemson",NA,0.692307692307692,9.53846153846154,0,0,0,0,1,-5,0,130,2040,20,13.7777777777778,15.7,-5,131,NA,20,2035,15.5,3.25,51,0.5,0.025,-0.125,0,50.875,0.5,0.5
"86",6,187,"BUF","Ray-Ray McCloud","WR",21,2020,0,20,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,4,67,8,48,0,"Clemson",16.75,0.4,2.4,0,0.2,3.35,0,18,106,0,127,1226,4,6,9.7,5.9,145,NA,4,1332,9.2,3.25641025641026,31.4358974358974,0.102564102564103,0.461538461538462,2.71794871794872,0,34.1538461538462,0.102564102564103,0
"87",6,191,"LAC","Dylan Cantrell","WR",24,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,"Texas Tech",NA,NA,NA,NA,NA,NA,NA,1,3,1,158,1873,18,NA,11.9,3,159,NA,19,1876,11.8,3.95,46.825,0.45,0.025,0.075,0.025,46.9,0.475,NA
"88",6,194,"ATL","Russell Gage","WR",22,2020,5,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,5,10,76,733,2,"LSU",2,2.11111111111111,20.3611111111111,0.0555555555555556,0.138888888888889,0.277777777777778,0,28,232,1,26,347,4,9.64473684210526,13.3,8.3,54,NA,5,579,10.7,1.23809523809524,16.5238095238095,0.19047619047619,1.33333333333333,11.047619047619,0.0476190476190476,27.5714285714286,0.238095238095238,2.5
"89",6,196,"KAN","Tremon Smith","WR",22,2020,1,25,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"Central Arkansas",NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"90",6,207,"GNB","Equanimeous St.","WR",21,2018,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,21,328,0,"Notre Dame",5,1.75,27.3333333333333,0,0.0833333333333333,0.416666666666667,0,NA,NA,NA,NA,NA,NA,15.6190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"91",6,208,"DAL","Cedrick Wilson","WR",22,2020,0,11,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,17,209,2,"Boise St.",NA,1.54545454545455,19,0.181818181818182,0,0,0,NA,NA,NA,NA,NA,NA,12.2941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"92",6,210,"NWE","Braxton Berrios","WR",22,2020,1,21,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1,13,16,238,2,"Miami (FL)",13,0.761904761904762,11.3333333333333,0.0952380952380952,0.0476190476190476,0.619047619047619,0,4,72,0,100,1175,14,14.875,11.8,18,104,NA,14,1247,12,2.17391304347826,25.5434782608696,0.304347826086957,0.0869565217391304,1.56521739130435,0,27.1086956521739,0.304347826086957,0.5
"93",7,224,"CHI","Javon Wims","WR",23,2020,1,25,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0,25,236,2,"Georgia",NA,1,9.44,0.08,0,0,0,0,0,0,62,910,8,9.44,14.7,NA,62,NA,8,910,14.7,2.81818181818182,41.3636363636364,0.363636363636364,0,0,0,41.3636363636364,0.363636363636364,0.5
"94",7,228,"OAK","Marcell Ateman","WR",23,2019,2,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,0,20,270,1,"Oklahoma St.",NA,1.11111111111111,15,0.0555555555555556,0,0,0,1,1,0,146,2466,13,13.5,16.9,1,147,NA,13,2467,16.8,3.3953488372093,57.3488372093023,0.302325581395349,0.0232558139534884,0.0232558139534884,0,57.3720930232558,0.302325581395349,1
"95",7,240,"SFO","Richie James","WR",23,2020,4,30,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2,-1,15,295,2,"Middle Tenn. St.",-0.5,0.5,9.83333333333333,0.0666666666666667,0.0666666666666667,-0.0333333333333333,0,61,554,5,243,3249,23,19.6666666666667,13.4,9.1,304,NA,28,3803,12.5,7.83870967741935,104.806451612903,0.741935483870968,1.96774193548387,17.8709677419355,0.161290322580645,122.677419354839,0.903225806451613,2
"96",7,253,"CIN","Auden Tate","WR",21,2020,4,23,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0,48,666,1,"Florida St.",NA,2.08695652173913,28.9565217391304,0.0434782608695652,0,0,0,0,0,0,65,957,16,13.875,14.7,NA,65,NA,16,957,14.7,2.95454545454545,43.5,0.727272727272727,0,0,0,43.5,0.727272727272727,2
"97",7,255,"BUF","Austin Proehl","WR",22,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,NA,NA,NA,NA,2,4,0,91,1265,5,NA,13.9,2,93,NA,5,1269,13.6,2.39473684210526,33.2894736842105,0.131578947368421,0.0526315789473684,0.105263157894737,0,33.3947368421053,0.131578947368421,NA
"98",7,256,"WAS","Trey Quinn","WR",22,2019,2,15,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,0,35,273,2,"SMU",0,2.33333333333333,18.2,0.133333333333333,0.0666666666666667,0,0,3,11,0,136,1512,13,7.8,11.1,3.7,139,NA,13,1523,11,5.03703703703704,56,0.481481481481481,0.111111111111111,0.407407407407407,0,56.4074074074074,0.481481481481481,1
