"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","Rushing Att","Rushing Yds","Receptions","Receiving Yds","Receiving TD","College/Univ","NFLYPC","NFL.receptions.pg","NFL.receivingyrds.pg","NFL.receivingtd.pg","NFL.rushattmpt.pg","NFL.rushyrds.pg","NFL.rushtd.pg","College.Rushing.Attempts","College.Rushing.Yards","College.Rushing.TDs","College.Receptions","College.Receiving.Yards","College.Receiving.TDs","NFLYPR","College.YPR","College.YPC","College.Total.Plays","College.Total.Tackles","College.Total.Touchdowns","College.Scrimmage.Yards","College.AVGYFS","college.receptions.pg","college.receivingyrds.pg","college.receivingtd.pg","college.rushattmpt.pg","college.rushyrds.pg","college.rushtd.pg","College.scrimyards.pg","college.tottd.pg","ValuePerYear"
"12",4,112,"NWE","Malcolm Mitchell","WR",24,2016,4,14,2016,5.34,72,32.625,198,10.5,4.45,15,36,129,6.94,2,5,11,9,4,13,22,NA,45,0,0,32,401,4,"Georgia",NA,2.28571428571429,28.6428571428571,0.285714285714286,0,0,0,9,55,0,174,2350,16,12.53125,13.5,6.1,183,NA,16,2405,13.1,3.86666666666667,52.2222222222222,0.355555555555556,0.2,1.22222222222222,0,53.4444444444444,0.355555555555556,1
"13",4,114,"CLE","Ricardo Louis","WR",22,2017,3,32,2016,5.19,74,32.375,215,9.5,4.43,18,38,132,NA,18,4,3,5,1,NA,NA,NA,50,0,0,45,562,0,"Auburn",NA,1.40625,17.5625,0,0,0,0,68,578,2,98,1338,8,12.4888888888889,13.7,8.5,166,NA,10,1916,11.5,1.96,26.76,0.16,1.36,11.56,0.04,38.32,0.2,0.75
"14",4,117,"LAR","Pharoh Cooper","WR",21,2020,5,51,2016,5.69,71,32.25,203,9.125,NA,15,31,115,NA,34,NA,11,36,34,NA,NA,NA,34,2,8,51,445,1,"South Carolina",4,1,8.72549019607843,0.0196078431372549,0.0392156862745098,0.156862745098039,0,71,513,4,138,2163,18,8.72549019607843,15.7,7.2,209,NA,22,2676,12.8,4.05882352941176,63.6176470588235,0.529411764705882,2.08823529411765,15.0882352941176,0.117647058823529,78.7058823529412,0.647058823529412,1.25
"15",4,126,"KAN","Demarcus Robinson","WR",21,2020,10,69,2016,5.65,73,33,203,9.5,4.59,NA,34.5,123,6.77,18,26,NA,20,13,6,9,NA,27,0,0,83,999,8,"Florida",NA,1.20289855072464,14.4782608695652,0.115942028985507,0,0,0,3,6,0,105,1353,9,12.0361445783133,12.9,2,108,NA,9,1359,12.6,3.88888888888889,50.1111111111111,0.333333333333333,0.111111111111111,0.222222222222222,0,50.3333333333333,0.333333333333333,2.5
"16",5,140,"TEN","Tajae Sharpe","WR",21,2020,11,49,2016,5.42,74,32.25,194,8.375,4.55,11,33.5,114,NA,40,18,29,24,36,NA,NA,NA,47,2,17,92,1167,8,"Massachusetts",8.5,1.87755102040816,23.8163265306122,0.163265306122449,0.0408163265306122,0.346938775510204,0,4,11,0,277,3486,16,12.6847826086957,12.6,2.8,281,NA,16,3497,12.4,5.8936170212766,74.1702127659574,0.340425531914894,0.0851063829787234,0.234042553191489,0,74.4042553191489,0.340425531914894,2.75
"17",5,154,"CLE","Jordan Payton","WR",23,2016,0,4,2016,5.08,73,32.5,207,10.125,4.47,NA,34.5,121,7.08,7,7,NA,20,22,18,19,NA,51,0,0,1,3,0,"UCLA",NA,0.25,0.75,0,0,0,0,0,0,0,201,2701,14,3,13.4,NA,201,NA,14,2701,13.4,3.94117647058824,52.9607843137255,0.274509803921569,0,0,0,52.9607843137255,0.274509803921569,0
"18",5,163,"GNB","Trevor Davis","WR",23,2019,2,43,2016,4.91,73,31,188,10,4.42,11,38.5,124,6.6,8,3,29,4,12,2,15,2,37,6,86,16,205,1,"California",14.3333333333333,0.372093023255814,4.76744186046512,0.0232558139534884,0.13953488372093,2,0.0232558139534884,4,3,0,109,1672,12,12.8125,15.3,0.8,113,NA,12,1675,14.8,2.94594594594595,45.1891891891892,0.324324324324324,0.108108108108108,0.0810810810810811,0,45.2702702702703,0.324324324324324,0.5
"19",5,165,"KAN","Tyreek Hill","WR",22,2020,47,64,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,549,303,4479,36,"West Alabama",7.12987012987013,4.734375,69.984375,0.5625,1.203125,8.578125,0.078125,NA,NA,NA,NA,NA,NA,14.7821782178218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.75
"20",5,172,"CLE","Rashard Higgins","WR",21,2020,6,57,2016,5.48,73,32.25,196,9.75,4.64,13,32,116,NA,12,29,20,33,29,NA,NA,NA,38,1,4,80,1056,8,"Colorado St.",4,1.40350877192982,18.5263157894737,0.140350877192982,0.0175438596491228,0.0701754385964912,0,2,21,0,238,3648,31,13.2,15.3,10.5,240,NA,31,3669,15.3,6.26315789473684,96,0.815789473684211,0.0526315789473684,0.552631578947368,0,96.5526315789474,0.815789473684211,1.5
"21",6,180,"MIN","Moritz Boehringer","WR",22,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
