"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College/Univ","ValuePerYear"
"32",7,231,"OAK","Jylan Ware","T",23,2017,0,1,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alabama St.",0
"33",7,236,"TEN","Brad Seaton","T",23,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Villanova",NA
"34",1,9,"SFO","Mike McGlinchey","T",24,2020,16,33,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notre Dame",8
"35",1,15,"OAK","Kolton Miller","T",22,2020,15,37,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UCLA",7.5
"36",1,23,"NWE","Isaiah Wynn","T",21,2020,4,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georgia",2
"37",2,50,"DAL","Connor Williams","T",21,2020,9,29,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas",4.5
"38",2,62,"MIN","Brian O'Neill","T",22,2020,15,35,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pittsburgh",7.5
"39",3,65,"OAK","Brandon Parker","T",22,2020,7,29,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Carolina A&T",3.5
"40",3,74,"WAS","Geron Christian","T",21,2020,2,23,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louisville",1
"41",3,80,"HOU","Martinas Rankin","T",23,2019,6,22,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mississippi St.",3
"42",3,83,"BAL","Orlando Brown","T",22,2020,20,37,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oklahoma",10
"43",3,89,"LAR","Joseph Noteboom","T",23,2020,5,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCU",2.5
"44",3,92,"PIT","Chukwuma Okorafor","T",21,2020,2,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West. Michigan",1
"45",3,94,"TAM","Alex Cappa","T",23,2020,6,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Humboldt St.",3
"46",4,127,"NOR","Rick Leonard","T",21,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Florida St.",NA
"47",4,129,"JAX","Will Richardson","T",22,2020,2,20,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Carolina St.",1
"48",5,153,"DET","Tyrell Crosby","T",23,2020,4,30,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oregon",2
"49",5,168,"SEA","Jamarco Jones","T",22,2020,3,19,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ohio St.",1.5
"50",6,192,"LAR","Jamil Demby","T",22,2019,1,6,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maine",0.5
"51",6,206,"PHI","Matt Pryor","T",23,2020,1,17,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCU",0.5
"52",6,212,"BAL","Greg Senat","T",23,2020,0,1,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wagner",0
"53",7,233,"PHI","Jordan Mailata","T",21,2020,0,5,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"54",7,254,"ARI","Korey Cunningham","T",23,2019,2,7,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cincinnati",1
