"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","Int","Sk","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"59",1,4,"CLE","Denzel Ward","CB",21,2020,13,30,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Ohio St.",93,3.1,NA,0.2,6,NA,47,20,2,0,2,0,0,24,0,0,1.80769230769231,0.769230769230769,2.57692307692308,0.0769230769230769,0,0.923076923076923,0,0.0769230769230769,6.5
"60",1,18,"GNB","Jaire Alexander","CB",21,2020,11,33,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"Louisville",125,3.78787878787879,0.0454545454545455,0.121212121212121,4,1.5,58,19,2,0,7,42,0,15,1,1,2,0.655172413793103,2.6551724137931,0.0689655172413793,0,0.517241379310345,0.0344827586206897,0.241379310344828,5.5
"61",1,30,"MIN","Mike Hughes","CB",21,2020,4,23,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"Central Florida",66,2.8695652173913,NA,0.0869565217391304,2,NA,47,13,0.5,0,4,92,1,14,0,1,2.04347826086957,0.565217391304348,2.60869565217391,0.0217391304347826,0,0.608695652173913,0.0434782608695652,0.173913043478261,2
"62",2,45,"GNB","Josh Jackson","CB",22,2020,5,34,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iowa",52,1.52941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
"63",2,53,"TAM","M.J. Stewart","CB",22,2020,3,26,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,"North Carolina",65,2.5,0.0384615384615385,NA,NA,1,129,70,11.5,3,6,21,0,41,3,3,2.63265306122449,1.42857142857143,4.06122448979592,0.23469387755102,0.0612244897959184,0.836734693877551,0.0612244897959184,0.122448979591837,1.5
"64",2,55,"CAR","Donte Jackson","CB",22,2020,10,34,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"LSU",99,2.91176470588235,0.0294117647058824,0.264705882352941,9,1,82,28,4,1,4,40,0,19,1,1,2.34285714285714,0.8,3.14285714285714,0.114285714285714,0.0285714285714286,0.542857142857143,0.0285714285714286,0.114285714285714,5
"65",2,56,"NWE","Duke Dawson","CB",21,2020,2,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"Florida",16,0.888888888888889,NA,NA,NA,NA,56,25,6.5,0,6,127,3,17,0,2,1.75,0.78125,2.53125,0.203125,0,0.53125,0.0625,0.1875,1
"66",2,58,"ATL","Isaiah Oliver","CB",21,2020,6,35,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Colorado",91,2.6,NA,0.0285714285714286,1,NA,61,21,0,0,3,41,0,25,0,1,1.96774193548387,0.67741935483871,2.64516129032258,0,0,0.806451612903226,0.032258064516129,0.0967741935483871,3
"67",2,63,"TAM","Carlton Davis","CB",21,2020,9,32,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,"Auburn",108,3.375,NA,0.125,4,NA,101,35,3.5,0.5,4,0,0,28,1,3,2.80555555555556,0.972222222222222,3.77777777777778,0.0972222222222222,0.0138888888888889,0.777777777777778,0.0833333333333333,0.111111111111111,4.5
"68",3,85,"CAR","Rashaan Gaulden","CB",23,2019,1,25,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Tennessee",14,0.56,NA,NA,NA,NA,92,45,9.5,1,1,0,0,9,3,1,2.96774193548387,1.45161290322581,4.41935483870968,0.306451612903226,0.032258064516129,0.290322580645161,0.032258064516129,0.032258064516129,0.5
"69",3,99,"DEN","Isaac Yiadom","CB",22,2020,5,34,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,"Boston Col.",56,1.64705882352941,NA,0.0294117647058824,1,NA,75,35,3,0,3,30,0,22,0,1,1.92307692307692,0.897435897435897,2.82051282051282,0.0769230769230769,0,0.564102564102564,0.0256410256410256,0.0769230769230769,2.5
"70",4,110,"OAK","Nick Nelson","CB",21,2019,1,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Wisconsin",10,0.833333333333333,NA,NA,NA,NA,93,29,3.5,1,0,0,0,41,0,2,2.65714285714286,0.828571428571429,3.48571428571429,0.1,0.0285714285714286,1.17142857142857,0.0571428571428571,0,0.5
"71",4,118,"BAL","Anthony Averett","CB",23,2020,2,25,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Alabama",28,1.12,NA,NA,NA,NA,71,27,7,2,1,30,0,16,0,2,2.29032258064516,0.870967741935484,3.16129032258065,0.225806451612903,0.0645161290322581,0.516129032258065,0.0645161290322581,0.032258064516129,1
"72",4,121,"BUF","Taron Johnson","CB",22,2020,5,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Weber St.",99,3.53571428571429,0.0714285714285714,0.0357142857142857,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5
"73",4,125,"PHI","Avonte Maddox","CB",22,2020,7,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,"Pittsburgh",85,3.03571428571429,0.0535714285714286,0.0714285714285714,2,1.5,136,47,13.5,7,8,63,2,34,1,3,3.16279069767442,1.09302325581395,4.25581395348837,0.313953488372093,0.162790697674419,0.790697674418605,0.0697674418604651,0.186046511627907,3.5
"74",5,142,"SFO","D.J. Reed","CB",21,2019,2,31,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kansas St.",41,1.32258064516129,0.032258064516129,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"75",5,151,"CIN","Davontae Harris","CB",23,2020,3,21,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illinois St.",31,1.47619047619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5
"76",5,152,"TEN","Dane Cruikshank","CB",23,2019,2,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"Arizona",16,0.571428571428571,NA,NA,NA,NA,108,26,6,1,5,68,0,12,0,1,4.32,1.04,5.36,0.24,0.04,0.48,0.04,0.2,1
"77",5,154,"BUF","Siran Neal","CB",24,2020,2,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jacksonville St.",39,1.08333333333333,0.0277777777777778,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"78",5,170,"CIN","Darius Phillips","CB",23,2020,3,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,"West. Michigan",31,1.10714285714286,NA,0.142857142857143,4,NA,89,38,13,2,12,376,5,35,3,4,1.74509803921569,0.745098039215686,2.49019607843137,0.254901960784314,0.0392156862745098,0.686274509803922,0.0784313725490196,0.235294117647059,1.5
"79",6,179,"NYJ","Parry Nickerson","CB",23,2019,1,20,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,"Tulane",22,1.1,NA,NA,NA,NA,154,34,8,0,16,203,1,31,4,3,3.34782608695652,0.739130434782609,4.08695652173913,0.173913043478261,0,0.673913043478261,0.0652173913043478,0.347826086956522,0.5
"80",6,182,"ARI","Christian Campbell","CB",22,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"Penn St.",NA,NA,NA,NA,NA,NA,61,41,5,1,4,16,0,19,1,1,1.64864864864865,1.10810810810811,2.75675675675676,0.135135135135135,0.027027027027027,0.513513513513513,0.027027027027027,0.108108108108108,NA
"81",6,188,"CLE","Simeon Thomas","CB",24,2019,1,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"Louisiana",5,0.416666666666667,NA,NA,NA,NA,65,25,3,0,2,0,0,19,1,1,2.6,1,3.6,0.12,0,0.76,0.04,0.08,0.5
"82",6,189,"NOR","Kamrin Moore","CB",21,2018,0,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,"Boston Col.",NA,NA,NA,NA,NA,NA,100,42,7,1,2,-1,0,21,2,0,2.56410256410256,1.07692307692308,3.64102564102564,0.179487179487179,0.0256410256410256,0.538461538461538,0,0.0512820512820513,0
"83",6,209,"MIA","Cornell Armstrong","CB",22,2019,1,20,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,"Southern Miss",11,0.55,NA,NA,NA,NA,110,36,9.5,0,5,45,1,29,1,0,2.5,0.818181818181818,3.31818181818182,0.215909090909091,0,0.659090909090909,0,0.113636363636364,0.5
"84",7,222,"HOU","Jermaine Kelly","CB",23,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"San Jose St.",NA,NA,NA,NA,NA,NA,60,12,2,0,1,68,1,16,2,0,2.72727272727273,0.545454545454545,3.27272727272727,0.0909090909090909,0,0.727272727272727,0,0.0454545454545455,NA
"85",7,241,"WAS","Greg Stroman","CB",22,2020,2,20,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"Virginia Tech",31,1.55,NA,0.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"86",7,243,"NWE","Keion Crossen","CB",22,2020,2,32,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West. Carolina",27,0.84375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
