"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","Int","Sk","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"21",4,133,"SFO","Rashard Robinson","CB",21,2018,8,38,2016,5.82,73,32.25,171,9,4.49,NA,35.5,121,NA,24,14,NA,15,19,NA,NA,NA,15,"LSU",54,1.42105263157895,NA,0.0526315789473684,2,NA,18,12,1.5,0,1,0,0,3,0,0,1.2,0.8,2,0.1,0,0.2,0,0.0666666666666667,2
"22",5,141,"CAR","Zack Sanchez","CB",22,2016,1,5,2016,5.54,71,31.375,185,9.375,NA,19,35.5,116,NA,10,NA,2,15,27,NA,NA,NA,36,"Oklahoma",5,1,NA,NA,NA,NA,100,34,5,0.5,15,220,3,28,0,0,2.77777777777778,0.944444444444444,3.72222222222222,0.138888888888889,0.0138888888888889,0.777777777777778,0,0.416666666666667,0.25
"23",5,157,"TEN","LeShaun Sims","CB",22,2020,7,59,2016,5.45,72,31.625,203,8.125,4.53,11,37,120,7.08,36,21,22,8,21,15,14,3,NA,"Southern Utah",99,1.67796610169492,NA,0.0508474576271186,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75
"24",6,178,"KAN","D.J. White","CB",22,2019,1,14,2016,5.56,71,31.5,193,9.25,4.49,17,33,132,7.18,14,14,9,26,2,19,22,NA,37,"Georgia Tech",13,0.928571428571429,NA,0.0714285714285714,1,NA,125,29,3.5,0,7,48,1,21,0,4,3.37837837837838,0.783783783783784,4.16216216216216,0.0945945945945946,0,0.567567567567568,0.108108108108108,0.189189189189189,0.25
"25",6,189,"DAL","Anthony Brown","CB",22,2020,13,58,2016,5.38,71,31.75,192,8.25,4.35,19,35,115,7.03,35,2,2,21,30,12,14,5,37,"Purdue",142,2.44827586206897,0.0517241379310345,0.0689655172413793,4,3,137,52,9.5,1.5,4,4,0,19,2,1,3.7027027027027,1.40540540540541,5.10810810810811,0.256756756756757,0.0405405405405405,0.513513513513513,0.027027027027027,0.108108108108108,3.25
"26",6,196,"PHI","Blake Countess","CB",23,2019,4,43,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"Auburn",38,0.883720930232558,0.0232558139534884,0.0465116279069767,2,1,116,68,6,0,8,174,1,23,0,1,2.41666666666667,1.41666666666667,3.83333333333333,0.125,0,0.479166666666667,0.0208333333333333,0.166666666666667,1
"27",6,205,"ARI","Harlan Miller","CB",22,2018,1,9,2016,5.78,72,31.375,182,9.375,4.65,6,35.5,118,7.44,10,28,29,15,23,22,24,13,NA,"Southeastern Louisiana",9,1,NA,0.111111111111111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25
"28",6,209,"BAL","Maurice Canady","CB",22,2019,3,32,2016,5.3,73,31.625,193,9.125,4.49,16,38,124,7.03,16,14,11,6,7,12,8,NA,43,"Virginia",66,2.0625,NA,0.03125,1,NA,101,45,6.5,2,5,108,1,26,0,2,2.34883720930233,1.04651162790698,3.3953488372093,0.151162790697674,0.0465116279069767,0.604651162790698,0.0465116279069767,0.116279069767442,0.75
"29",6,218,"BUF","Kevon Seymour","CB",22,2017,3,31,2016,5.15,71,30.75,186,9,4.39,12,35,124,NA,24,5,21,21,7,NA,12,NA,35,"USC",38,1.2258064516129,NA,NA,NA,NA,102,25,5,1,3,67,0,18,1,0,2.91428571428571,0.714285714285714,3.62857142857143,0.142857142857143,0.0285714285714286,0.514285714285714,0,0.0857142857142857,0.75
"30",7,249,"SFO","Prince Charles","CB",23,2016,0,1,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"31",7,253,"TEN","Kalan Reed","CB",22,2017,0,7,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,"Southern Miss",2,0.285714285714286,NA,NA,NA,NA,112,40,8.5,0,8,135,3,30,3,3,2.43478260869565,0.869565217391304,3.30434782608696,0.184782608695652,0,0.652173913043478,0.0652173913043478,0.173913043478261,0
"32",1,11,"NOR","Marshon Lattimore","CB",21,2020,20,47,2017,6.52,72,31.25,193,8.875,4.36,NA,38.5,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"Ohio St.",155,3.29787234042553,NA,0.170212765957447,8,NA,34,11,1,0,4,61,1,11,0,0,2.125,0.6875,2.8125,0.0625,0,0.6875,0,0.25,6.66666666666667
"33",1,16,"BAL","Marlon Humphrey","CB",21,2020,20,51,2017,6.16,72,32.25,197,8.75,4.41,10,NA,125,6.75,NA,NA,NA,NA,NA,NA,NA,NA,29,"Alabama",136,2.66666666666667,0.0294117647058824,0.156862745098039,8,1.5,61,20,6.5,0,5,46,1,13,0,3,2.10344827586207,0.689655172413793,2.79310344827586,0.224137931034483,0,0.448275862068966,0.103448275862069,0.172413793103448,6.66666666666667
"34",1,18,"TEN","Adoree' Jackson","CB",21,2019,15,43,2017,5.86,70,31.375,186,9.25,4.42,NA,36,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USC",167,3.88372093023256,NA,0.0465116279069767,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"35",1,24,"OAK","Gareon Conley","CB",22,2019,9,31,2017,5.91,72,33,195,9.5,4.44,11,37,129,6.68,NA,NA,NA,NA,NA,NA,NA,NA,35,"Ohio St.",65,2.09677419354839,NA,0.129032258064516,4,NA,66,25,1,0.5,6,0,0,15,0,0,1.88571428571429,0.714285714285714,2.6,0.0285714285714286,0.0142857142857143,0.428571428571429,0,0.171428571428571,3
"36",1,27,"BUF","Tre'Davious White","CB",22,2020,29,51,2017,6,71,32.125,192,9.125,4.47,16,32,119,6.9,NA,NA,NA,NA,NA,NA,NA,NA,48,"LSU",156,3.05882352941176,0.0196078431372549,0.235294117647059,12,1,111,56,11,1.5,6,61,1,34,1,1,2.3125,1.16666666666667,3.47916666666667,0.229166666666667,0.03125,0.708333333333333,0.0208333333333333,0.125,9.66666666666667
"37",2,33,"GNB","Kevin King","CB",22,2020,10,34,2017,5.6,75,32,200,9.5,4.43,11,39.5,NA,6.56,NA,NA,NA,NA,NA,NA,NA,NA,43,"Washington",104,3.05882352941176,0.0294117647058824,0.176470588235294,6,1,103,61,9.5,0,6,6,0,22,2,2,2.3953488372093,1.41860465116279,3.81395348837209,0.22093023255814,0,0.511627906976744,0.0465116279069767,0.13953488372093,3.33333333333333
"38",2,43,"PHI","Sidney Jones","CB",21,2020,4,26,2017,6.5,72,31.5,186,9.375,4.47,NA,33.5,123,7.02,NA,NA,NA,NA,NA,NA,NA,NA,30,"Washington",46,1.76923076923077,NA,0.115384615384615,3,NA,105,40,8.5,1,8,147,1,21,3,6,3.5,1.33333333333333,4.83333333333333,0.283333333333333,0.0333333333333333,0.7,0.2,0.266666666666667,1.33333333333333
"39",2,46,"IND","Quincy Wilson","CB",21,2020,5,32,2017,5.79,73,32.25,211,9.625,4.54,14,32,118,6.86,NA,NA,NA,NA,NA,NA,NA,NA,37,"Florida",49,1.53125,NA,0.0625,2,NA,47,34,4.5,1,6,93,1,14,0,1,1.27027027027027,0.918918918918919,2.18918918918919,0.121621621621622,0.027027027027027,0.378378378378378,0.027027027027027,0.162162162162162,1.66666666666667
"40",2,53,"DET","Teez Tabor","CB",21,2018,3,22,2017,6.15,72,32,199,8.625,4.62,9,31,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Florida",36,1.63636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"41",2,60,"DAL","Chidobe Awuzie","CB",22,2020,14,43,2017,5.68,72,30.625,202,8.5,4.43,16,34.5,132,6.81,NA,NA,NA,NA,NA,NA,NA,NA,48,"Colorado",122,2.83720930232558,NA,0.0930232558139535,4,NA,212,53,25,9,3,40,0,25,3,6,4.41666666666667,1.10416666666667,5.52083333333333,0.520833333333333,0.1875,0.520833333333333,0.125,0.0625,4.66666666666667
"42",3,66,"SFO","Ahkello Witherspoon","CB",22,2020,10,39,2017,5.73,75,33,198,9.875,4.45,NA,40.5,127,6.93,NA,NA,NA,NA,NA,NA,NA,NA,29,"Colorado",88,2.25641025641026,NA,0.0769230769230769,3,NA,61,10,0,0,3,0,0,24,1,1,2.10344827586207,0.344827586206897,2.44827586206897,0,0,0.827586206896552,0.0344827586206897,0.103448275862069,3.33333333333333
"43",3,81,"WAS","Fabian Moreau","CB",23,2020,8,49,2017,5.59,72,31.375,206,9,4.35,NA,38,136,6.94,NA,NA,NA,NA,NA,NA,NA,NA,40,"UCLA",81,1.6530612244898,NA,0.102040816326531,5,NA,99,50,4.5,0,3,32,0,21,0,2,2.475,1.25,3.725,0.1125,0,0.525,0.05,0.075,2.66666666666667
"44",3,92,"DAL","Jourdan Lewis","CB",22,2020,9,50,2017,5.78,70,31.625,188,9.25,4.54,15,34.5,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,"Michigan",109,2.18,0.08,0.08,4,4,97,38,8.5,1,6,50,1,37,0,1,2.36585365853659,0.926829268292683,3.29268292682927,0.207317073170732,0.024390243902439,0.902439024390244,0.024390243902439,0.146341463414634,3
"45",3,94,"PIT","Cameron Sutton","CB",22,2020,4,40,2017,5.77,71,30,188,8.25,4.52,11,34,120,6.81,NA,NA,NA,NA,NA,NA,NA,NA,44,"Tennessee",37,0.925,0.025,0.05,2,1,111,16,13,1,7,35,1,30,2,3,2.52272727272727,0.363636363636364,2.88636363636364,0.295454545454545,0.0227272727272727,0.681818181818182,0.0681818181818182,0.159090909090909,1.33333333333333
"46",3,97,"MIA","Cordrea Tankersley","CB",23,2018,3,17,2017,5.8,73,32.25,199,9.125,4.4,13,29.5,121,7,NA,NA,NA,NA,NA,NA,NA,NA,39,"Clemson",26,1.52941176470588,NA,NA,NA,NA,90,27,10,1,9,72,1,20,0,0,2.30769230769231,0.692307692307692,3,0.256410256410256,0.0256410256410256,0.512820512820513,0,0.230769230769231,1
