"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","Int","Sk","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"43",1,29,"JAX","Taven Bryan","DT",22,2020,6,37,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"Florida",35,NA,3,0.945945945945946,0.0810810810810811,NA,30,32,10.5,5.5,1,0,0,1,3,1,1,1.06666666666667,2.06666666666667,0.35,0.183333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,3
"44",2,57,"OAK","P.J. Hall","DT",23,2020,8,35,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam Houston St.",44,NA,2.5,1.25714285714286,0.0714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"45",3,69,"NYG","B.J. Hill","DT",23,2020,9,37,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"North Carolina St.",51,NA,7.5,1.37837837837838,0.202702702702703,NA,76,107,23.5,8,1,0,0,9,2,2,1.58333333333333,2.22916666666667,3.8125,0.489583333333333,0.166666666666667,0.1875,0.0416666666666667,0.0208333333333333,4.5
"46",3,72,"NYJ","Nathan Shepherd","DT",24,2020,6,29,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fort Hays St.",11,NA,2,0.379310344827586,0.0689655172413793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"47",3,75,"KAN","Derrick Nnadi","DT",22,2020,11,37,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,"Florida St.",43,1,1,1.16216216216216,0.027027027027027,0.027027027027027,75,90,24.5,12,0,0,0,3,2,3,1.70454545454545,2.04545454545455,3.75,0.556818181818182,0.272727272727273,0.0681818181818182,0.0681818181818182,0,5.5
"48",3,79,"SEA","Rasheem Green","DT",21,2020,5,27,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,"USC",23,NA,5,0.851851851851852,0.185185185185185,NA,48,67,20,16.5,0,0,0,8,1,3,1.5,2.09375,3.59375,0.625,0.515625,0.25,0.09375,0,2.5
"49",3,84,"LAC","Justin Jones","DT",23,2020,6,29,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,"North Carolina St.",27,NA,0.5,0.931034482758621,0.0172413793103448,NA,56,52,22.5,8.5,0,0,0,1,2,1,1.64705882352941,1.52941176470588,3.17647058823529,0.661764705882353,0.25,0.0294117647058824,0.0294117647058824,0,3
"50",3,90,"ATL","Deadrin Senat","DT",24,2020,2,19,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,"South Florida",17,NA,NA,0.894736842105263,NA,NA,104,74,23.5,7,0,0,0,2,0,2,2.47619047619048,1.76190476190476,4.23809523809524,0.55952380952381,0.166666666666667,0.0476190476190476,0.0476190476190476,0,1
"51",3,96,"BUF","Harrison Phillips","DT",22,2020,2,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Stanford",24,NA,0.5,1,0.0208333333333333,NA,62,91,29,16.5,0,0,0,2,2,3,2,2.93548387096774,4.93548387096774,0.935483870967742,0.532258064516129,0.0645161290322581,0.0967741935483871,0,1
"52",4,128,"SFO","Kentavius Street","DT",21,2020,0,7,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,"North Carolina St.",7,NA,NA,1,NA,NA,48,72,19,8,0,0,0,5,4,2,1.04347826086957,1.56521739130435,2.60869565217391,0.41304347826087,0.173913043478261,0.108695652173913,0.0434782608695652,0,0
"53",5,139,"NYG","R.J. McIntosh","DT",22,2019,2,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miami (FL)",10,NA,2,0.555555555555556,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"54",5,140,"OAK","Maurice Hurst","DT",23,2020,8,33,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michigan",45,1,8,1.36363636363636,0.242424242424242,0.0303030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"55",5,145,"CHI","Bilal Nichols","DT",21,2020,11,32,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delaware",40,NA,3,1.25,0.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5
"56",5,163,"WAS","Tim Settle","DT",21,2020,3,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"Virginia Tech",22,NA,3,0.611111111111111,0.0833333333333333,NA,28,25,19.5,4,0,0,0,1,0,0,1.21739130434783,1.08695652173913,2.30434782608696,0.847826086956522,0.173913043478261,0.0434782608695652,0,0,1.5
"57",6,180,"NYJ","Folorunso Fatukasi","DT",23,2020,2,20,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,"Connecticut",17,NA,1,0.85,0.05,NA,103,67,21,14,0,0,0,0,0,4,2.34090909090909,1.52272727272727,3.86363636363636,0.477272727272727,0.318181818181818,0,0.0909090909090909,0,1
"58",6,195,"LAR","Sebastian Joseph","DT",23,2020,6,21,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"Rutgers",37,NA,2,1.76190476190476,0.0952380952380952,NA,47,43,14.5,3.5,0,0,0,2,1,2,1.27027027027027,1.16216216216216,2.43243243243243,0.391891891891892,0.0945945945945946,0.0540540540540541,0.0540540540540541,0,3
"59",6,198,"KAN","Kahlil McKenzie","DT",21,2020,0,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"Tennessee",NA,NA,NA,NA,NA,NA,14,22,1.5,1,0,0,0,1,0,1,0.933333333333333,1.46666666666667,2.4,0.1,0.0666666666666667,0.0666666666666667,0.0666666666666667,0,0
"60",7,223,"SFO","Jullian Taylor","DT",23,2019,1,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"Temple",11,NA,NA,0.916666666666667,NA,NA,30,23,12.5,1,0,0,0,0,0,0,2,1.53333333333333,3.53333333333333,0.833333333333333,0.0666666666666667,0,0,0,0.5
"61",7,242,"CAR","Kendrick Norton","DT",21,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,"Miami (FL)",NA,NA,NA,NA,NA,NA,45,39,18,5,0,0,0,1,1,1,1.32352941176471,1.14705882352941,2.47058823529412,0.529411764705882,0.147058823529412,0.0294117647058824,0.0294117647058824,0,NA
"62",7,246,"PIT","Joshua Frazier","DT",22,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"Alabama",NA,NA,NA,NA,NA,NA,11,17,4.5,2,0,0,0,3,0,1,0.478260869565217,0.739130434782609,1.21739130434783,0.195652173913043,0.0869565217391304,0.130434782608696,0.0434782608695652,0,NA
