"","Rnd","Pick","Tm","Player","Pos","Age","To","Approx Val CarAV","G","year","Grade","Height","Arm Length","Weight","Hands","40 Yard Dash","Bench Press","Vertical Jump","Broad Jump","Three Cone Drill","Hands Rank","40 Rank","Bench Rank","Vertical Rank","Broad Rank","3 Cone Rank","20 Shuttle Rank","60 Shuttle Rank","College.Games","College/Univ","Solo Tackle","Int","Sk","NFL.solotackles.pg","NFL.sack.pg","NFL.int.pg","College.Solo.tackle","College.Assist.Tackles","College.TFL","College.Sacks","College.Interceptions","College.Int.Yards","College.Int.Tds","College.Pass.Defensed","College.Fumble.Recoveries","College.Forced.Fumbles","college.solotackles.pg","college.asst.pg","college.totaltck.pg","college.TFL.pg","college.sack.pg","college.passdefensed.pg","college.ff.pg","college.int.pg","ValuePerYear"
"42",2,64,"IND","Tyquan Lewis","DE",23,2020,4,22,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,"Ohio St.",13,NA,3,0.590909090909091,0.136363636363636,NA,63,49,37,23.5,0,0,0,5,0,5,1.43181818181818,1.11363636363636,2.54545454545455,0.840909090909091,0.534090909090909,0.113636363636364,0.113636363636364,0,2
"43",3,66,"NYG","Lorenzo Carter","DE",22,2020,7,35,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"Georgia",66,NA,9.5,1.88571428571429,0.271428571428571,NA,83,83,21.5,14,0,0,0,1,6,6,1.72916666666667,1.72916666666667,3.45833333333333,0.447916666666667,0.291666666666667,0.0208333333333333,0.125,0,3.5
"44",3,67,"CLE","Chad Thomas","DE",22,2019,5,20,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"Miami (FL)",17,NA,4,0.85,0.2,NA,51,52,26,10,0,0,0,7,2,2,1.275,1.3,2.575,0.65,0.25,0.175,0.05,0,2.5
"45",3,77,"CIN","Sam Hubbard","DE",23,2020,10,36,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,"Ohio St.",83,NA,15.5,2.30555555555556,0.430555555555556,NA,64,52,30,17,1,0,0,3,1,3,1.64102564102564,1.33333333333333,2.97435897435897,0.769230769230769,0.435897435897436,0.0769230769230769,0.0769230769230769,0.0256410256410256,5
"46",3,87,"OAK","Arden Key","DE",22,2020,5,28,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"LSU",26,NA,3,0.928571428571429,0.107142857142857,NA,58,71,24.5,20,0,0,0,4,2,3,1.87096774193548,2.29032258064516,4.16129032258065,0.790322580645161,0.645161290322581,0.129032258064516,0.0967741935483871,0,2.5
"47",4,102,"MIN","Jalyn Holmes","DE",22,2020,1,16,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,"Ohio St.",11,NA,1,0.6875,0.0625,NA,41,44,15,5,0,0,0,4,2,3,1.13888888888889,1.22222222222222,2.36111111111111,0.416666666666667,0.138888888888889,0.111111111111111,0.0833333333333333,0,0.5
"48",4,114,"DET","Da'Shawn Hand","DE",22,2020,6,20,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,"Alabama",30,NA,3,1.5,0.15,NA,30,41,14.5,9,0,0,0,1,0,1,0.882352941176471,1.20588235294118,2.08823529411765,0.426470588235294,0.264705882352941,0.0294117647058824,0.0294117647058824,0,3
"49",4,116,"DAL","Dorance Armstrong","DE",21,2020,4,35,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kansas",24,NA,2.5,0.685714285714286,0.0714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"50",4,130,"PHI","Josh Sweat","DE",21,2020,3,30,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Florida St.",24,NA,7,0.8,0.233333333333333,NA,77,61,29,14.5,1,6,0,6,3,1,2.2,1.74285714285714,3.94285714285714,0.828571428571429,0.414285714285714,0.171428571428571,0.0285714285714286,0.0285714285714286,1.5
"51",4,135,"LAR","John Franklin-Myers","DE",21,2020,1,20,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S.F. Austin",9,NA,3,0.45,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"52",5,158,"CIN","Andrew Brown","DE",22,2020,2,17,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,"Virginia",11,NA,1,0.647058823529412,0.0588235294117647,NA,42,52,26.5,10.5,0,0,0,4,1,1,1.23529411764706,1.52941176470588,2.76470588235294,0.779411764705882,0.308823529411765,0.117647058823529,0.0294117647058824,0,1
"53",5,160,"LAR","Ogbonnia Okoronkwo","DE",23,2020,1,15,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Oklahoma",9,NA,2.5,0.6,0.166666666666667,NA,105,57,33,20,0,0,0,5,2,5,3,1.62857142857143,4.62857142857143,0.942857142857143,0.571428571428571,0.142857142857143,0.142857142857143,0,0.5
"54",6,177,"HOU","Duke Ejiofor","DE",23,2018,1,12,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,"Wake Forest",6,NA,1,0.5,0.0833333333333333,NA,80,53,43.5,24,1,1,0,6,2,4,2.10526315789474,1.39473684210526,3.5,1.14473684210526,0.631578947368421,0.157894736842105,0.105263157894737,0.0263157894736842,0.5
"55",6,181,"CHI","Kylie Fitts","DE",23,2020,0,14,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Utah",5,NA,NA,0.357142857142857,NA,NA,37,31,14,11.5,0,0,0,11,0,5,1.68181818181818,1.40909090909091,3.09090909090909,0.636363636363636,0.522727272727273,0.5,0.227272727272727,0,0
"56",6,205,"LAR","Trevon Young","DE",23,2018,0,2,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,"Louisville",NA,NA,NA,NA,NA,NA,62,39,24,14,1,27,0,7,1,2,2.21428571428571,1.39285714285714,3.60714285714286,0.857142857142857,0.5,0.25,0.0714285714285714,0.0357142857142857,0
"57",6,218,"MIN","Ade Aruna","DE",24,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"Tulane",NA,NA,NA,NA,NA,NA,71,36,19,11,0,0,0,4,3,3,1.91891891891892,0.972972972972973,2.89189189189189,0.513513513513513,0.297297297297297,0.108108108108108,0.0810810810810811,0,NA
"58",7,232,"GNB","James Looney","DE",23,2018,0,3,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"California",NA,NA,NA,NA,NA,NA,53,78,20.5,7,0,0,0,2,5,1,1.82758620689655,2.68965517241379,4.51724137931035,0.706896551724138,0.241379310344828,0.0689655172413793,0.0344827586206897,0,0
"59",7,238,"BAL","Zach Sieler","DE",23,2020,1,14,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ferris St.",11,NA,2.5,0.785714285714286,0.178571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"60",7,244,"LAR","Justin Lawler","DE",23,2018,1,16,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,"SMU",4,NA,NA,0.25,NA,NA,143,83,40.5,20.5,0,0,0,3,1,4,3.04255319148936,1.76595744680851,4.80851063829787,0.861702127659574,0.436170212765957,0.0638297872340425,0.0851063829787234,0,0.5
